software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,json_n8n_url,passos_resumo,tags
Salesforce,Microsoft Teams,Relatório,Acompanhamento de vendas,Como integrar Salesforce com Microsoft Teams para relatório usando N8N,salesforce-para-microsoft-teams-n8n-relatório,Automatize relatório integrando Salesforce e Microsoft Teams com N8N. Acompanhamento de vendas.,https://n8n.io/workflows/2641,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"growth,acquisition,sme"
Salesforce,Microsoft Teams,Alerta,Conformidade e segurança,Como integrar Salesforce com Microsoft Teams para alerta usando N8N,salesforce-para-microsoft-teams-n8n-alerta,Automatize alerta integrando Salesforce e Microsoft Teams com N8N. Conformidade e segurança.,https://n8n.io/workflows/2642,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"payment,otimizacao,formularios"
Salesforce,Microsoft Teams,Importação,Organização de eventos e agendamentos,Como integrar Salesforce com Microsoft Teams para importação usando N8N,salesforce-para-microsoft-teams-n8n-importação,Automatize importação integrando Salesforce e Microsoft Teams com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/2643,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"whatsapp,retention,sme"
Salesforce,Microsoft Teams,Exportação,Gestão de tickets e suporte,Como integrar Salesforce com Microsoft Teams para exportação usando N8N,salesforce-para-microsoft-teams-n8n-exportação,Automatize exportação integrando Salesforce e Microsoft Teams com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/2644,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"acquisition,performance,import"
Salesforce,Microsoft Teams,Transformação,Controle de inventário e estoque,Como integrar Salesforce com Microsoft Teams para transformação usando N8N,salesforce-para-microsoft-teams-n8n-transformação,Automatize transformação integrando Salesforce e Microsoft Teams com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2645,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"integracao,filter,import"
Salesforce,Microsoft Teams,Filtro,Atendimento ao cliente 24/7,Como integrar Salesforce com Microsoft Teams para filtro usando N8N,salesforce-para-microsoft-teams-n8n-filtro,Automatize filtro integrando Salesforce e Microsoft Teams com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/2646,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"project-management,formularios,payment"
Salesforce,Microsoft Teams,Validação,Redução de tarefas repetitivas,Como integrar Salesforce com Microsoft Teams para validação usando N8N,salesforce-para-microsoft-teams-n8n-validação,Automatize validação integrando Salesforce e Microsoft Teams com N8N. Redução de tarefas repetitivas.,https://n8n.io/workflows/2647,Conectar Trigger Salesforce|Validar dados|Formatar para Microsoft Teams|Enviar/Criar no Microsoft Teams|Registrar resultado,"security,inventory,otimizacao"
Salesforce,Discord,Lead,Verificação de dados duplicados,Como integrar Salesforce com Discord para lead usando N8N,salesforce-para-discord-n8n-lead,Automatize lead integrando Salesforce e Discord com N8N. Verificação de dados duplicados.,https://n8n.io/workflows/2648,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"saas,whatsapp,finance"
Salesforce,Discord,Venda,Automação de email marketing,Como integrar Salesforce com Discord para venda usando N8N,salesforce-para-discord-n8n-venda,Automatize venda integrando Salesforce e Discord com N8N. Automação de email marketing.,https://n8n.io/workflows/2649,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"validation,analytics,retention"
Salesforce,Discord,Notificação,Conformidade e segurança,Como integrar Salesforce com Discord para notificação usando N8N,salesforce-para-discord-n8n-notificação,Automatize notificação integrando Salesforce e Discord com N8N. Conformidade e segurança.,https://n8n.io/workflows/2650,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"import,trigger,finance"
Salesforce,Discord,Formulário,Verificação de dados duplicados,Como integrar Salesforce com Discord para formulário usando N8N,salesforce-para-discord-n8n-formulário,Automatize formulário integrando Salesforce e Discord com N8N. Verificação de dados duplicados.,https://n8n.io/workflows/2651,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"integracao,inventory,email"
Salesforce,Discord,Contato,Gestão de tickets e suporte,Como integrar Salesforce com Discord para contato usando N8N,salesforce-para-discord-n8n-contato,Automatize contato integrando Salesforce e Discord com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/2652,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"validation,marketing,accounting"
Salesforce,Discord,Pedido,Análise de dados e inteligência,Como integrar Salesforce com Discord para pedido usando N8N,salesforce-para-discord-n8n-pedido,Automatize pedido integrando Salesforce e Discord com N8N. Análise de dados e inteligência.,https://n8n.io/workflows/2653,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"reporting,performance,security"
Salesforce,Discord,Pagamento,Verificação de dados duplicados,Como integrar Salesforce com Discord para pagamento usando N8N,salesforce-para-discord-n8n-pagamento,Automatize pagamento integrando Salesforce e Discord com N8N. Verificação de dados duplicados.,https://n8n.io/workflows/2654,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"otimizacao,b2b,security"
Salesforce,Discord,Evento,Automação de email marketing,Como integrar Salesforce com Discord para evento usando N8N,salesforce-para-discord-n8n-evento,Automatize evento integrando Salesforce e Discord com N8N. Automação de email marketing.,https://n8n.io/workflows/2655,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"acquisition,accounting,payment"
Salesforce,Discord,Chat,Marketing automation e segmentação,Como integrar Salesforce com Discord para chat usando N8N,salesforce-para-discord-n8n-chat,Automatize chat integrando Salesforce e Discord com N8N. Marketing automation e segmentação.,https://n8n.io/workflows/2656,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"dados,integracao,ecommerce"
Salesforce,Discord,Comentário,Conformidade e segurança,Como integrar Salesforce com Discord para comentário usando N8N,salesforce-para-discord-n8n-comentário,Automatize comentário integrando Salesforce e Discord com N8N. Conformidade e segurança.,https://n8n.io/workflows/2657,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"notificacao,api,transform"
Salesforce,Discord,Post,Priorização de leads,Como integrar Salesforce com Discord para post usando N8N,salesforce-para-discord-n8n-post,Automatize post integrando Salesforce e Discord com N8N. Priorização de leads.,https://n8n.io/workflows/2658,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"security,ecommerce,payment"
Salesforce,Discord,Agendamento,Escalabilidade de processos,Como integrar Salesforce com Discord para agendamento usando N8N,salesforce-para-discord-n8n-agendamento,Automatize agendamento integrando Salesforce e Discord com N8N. Escalabilidade de processos.,https://n8n.io/workflows/2659,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"email,import,cultura"
Salesforce,Discord,Email,Acompanhamento de vendas,Como integrar Salesforce com Discord para email usando N8N,salesforce-para-discord-n8n-email,Automatize email integrando Salesforce e Discord com N8N. Acompanhamento de vendas.,https://n8n.io/workflows/2660,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"performance,growth,sme"
Salesforce,Discord,Webhook,Automação de email marketing,Como integrar Salesforce com Discord para webhook usando N8N,salesforce-para-discord-n8n-webhook,Automatize webhook integrando Salesforce e Discord com N8N. Automação de email marketing.,https://n8n.io/workflows/2661,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"ecommerce,retention,sync"
Salesforce,Discord,API Call,Marketing automation e segmentação,Como integrar Salesforce com Discord para api call usando N8N,salesforce-para-discord-n8n-api call,Automatize api call integrando Salesforce e Discord com N8N. Marketing automation e segmentação.,https://n8n.io/workflows/2662,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"filter,performance,vendas"
Salesforce,Discord,Atualização,Centralização de dados empresariais,Como integrar Salesforce com Discord para atualização usando N8N,salesforce-para-discord-n8n-atualização,Automatize atualização integrando Salesforce e Discord com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/2663,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"finance,sync,webhook"
Salesforce,Discord,Criação,Auditoria de ações,Como integrar Salesforce com Discord para criação usando N8N,salesforce-para-discord-n8n-criação,Automatize criação integrando Salesforce e Discord com N8N. Auditoria de ações.,https://n8n.io/workflows/2664,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"accounting,export,transform"
Salesforce,Discord,Exclusão,Integração de pagamentos e financeiro,Como integrar Salesforce com Discord para exclusão usando N8N,salesforce-para-discord-n8n-exclusão,Automatize exclusão integrando Salesforce e Discord com N8N. Integração de pagamentos e financeiro.,https://n8n.io/workflows/2665,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"webhook,customer-support,export"
Salesforce,Discord,Backup,Redução de tarefas repetitivas,Como integrar Salesforce com Discord para backup usando N8N,salesforce-para-discord-n8n-backup,Automatize backup integrando Salesforce e Discord com N8N. Redução de tarefas repetitivas.,https://n8n.io/workflows/2666,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"retention,marketing,security"
Salesforce,Discord,Sincronização,Escalabilidade de processos,Como integrar Salesforce com Discord para sincronização usando N8N,salesforce-para-discord-n8n-sincronização,Automatize sincronização integrando Salesforce e Discord com N8N. Escalabilidade de processos.,https://n8n.io/workflows/2667,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"export,security,integracao"
Salesforce,Discord,Relatório,Notificação para equipes,Como integrar Salesforce com Discord para relatório usando N8N,salesforce-para-discord-n8n-relatório,Automatize relatório integrando Salesforce e Discord com N8N. Notificação para equipes.,https://n8n.io/workflows/2668,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"finance,trigger,saas"
Salesforce,Discord,Alerta,Marketing automation e segmentação,Como integrar Salesforce com Discord para alerta usando N8N,salesforce-para-discord-n8n-alerta,Automatize alerta integrando Salesforce e Discord com N8N. Marketing automation e segmentação.,https://n8n.io/workflows/2669,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"analytics,vendas,export"
Salesforce,Discord,Importação,Geração de relatórios automatizados,Como integrar Salesforce com Discord para importação usando N8N,salesforce-para-discord-n8n-importação,Automatize importação integrando Salesforce e Discord com N8N. Geração de relatórios automatizados.,https://n8n.io/workflows/2670,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"validation,filter,integracao"
Salesforce,Discord,Exportação,Escalabilidade de processos,Como integrar Salesforce com Discord para exportação usando N8N,salesforce-para-discord-n8n-exportação,Automatize exportação integrando Salesforce e Discord com N8N. Escalabilidade de processos.,https://n8n.io/workflows/2671,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"startup,otimizacao,social"
Salesforce,Discord,Transformação,Controle de inventário e estoque,Como integrar Salesforce com Discord para transformação usando N8N,salesforce-para-discord-n8n-transformação,Automatize transformação integrando Salesforce e Discord com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2672,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"finance,hr,sync"
Salesforce,Discord,Filtro,Auditoria de ações,Como integrar Salesforce com Discord para filtro usando N8N,salesforce-para-discord-n8n-filtro,Automatize filtro integrando Salesforce e Discord com N8N. Auditoria de ações.,https://n8n.io/workflows/2673,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"social,b2b,integracao"
Salesforce,Discord,Validação,Melhor rastreabilidade,Como integrar Salesforce com Discord para validação usando N8N,salesforce-para-discord-n8n-validação,Automatize validação integrando Salesforce e Discord com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/2674,Conectar Trigger Salesforce|Validar dados|Formatar para Discord|Enviar/Criar no Discord|Registrar resultado,"growth,accounting,automacao"
Salesforce,Twilio,Lead,Centralização de dados empresariais,Como integrar Salesforce com Twilio para lead usando N8N,salesforce-para-twilio-n8n-lead,Automatize lead integrando Salesforce e Twilio com N8N. Centralização de dados empresariais.,https://n8n.io/workflows/2675,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"sync,email,marketing"
Salesforce,Twilio,Venda,Controle de inventário e estoque,Como integrar Salesforce com Twilio para venda usando N8N,salesforce-para-twilio-n8n-venda,Automatize venda integrando Salesforce e Twilio com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2676,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"b2c,sync,finance"
Salesforce,Twilio,Notificação,Organização de eventos e agendamentos,Como integrar Salesforce com Twilio para notificação usando N8N,salesforce-para-twilio-n8n-notificação,Automatize notificação integrando Salesforce e Twilio com N8N. Organização de eventos e agendamentos.,https://n8n.io/workflows/2677,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"booking,crm,analytics"
Salesforce,Twilio,Formulário,Gerenciamento de relacionamento com clientes,Como integrar Salesforce com Twilio para formulário usando N8N,salesforce-para-twilio-n8n-formulário,Automatize formulário integrando Salesforce e Twilio com N8N. Gerenciamento de relacionamento com clientes.,https://n8n.io/workflows/2678,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"webhook,acquisition,schedule"
Salesforce,Twilio,Contato,Captura e processamento automático de dados,Como integrar Salesforce com Twilio para contato usando N8N,salesforce-para-twilio-n8n-contato,Automatize contato integrando Salesforce e Twilio com N8N. Captura e processamento automático de dados.,https://n8n.io/workflows/2679,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"chat,cultura,schedule"
Salesforce,Twilio,Pedido,Enriquecimento de contatos,Como integrar Salesforce com Twilio para pedido usando N8N,salesforce-para-twilio-n8n-pedido,Automatize pedido integrando Salesforce e Twilio com N8N. Enriquecimento de contatos.,https://n8n.io/workflows/2680,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"notificacao,startup,filter"
Salesforce,Twilio,Pagamento,Geração de relatórios automatizados,Como integrar Salesforce com Twilio para pagamento usando N8N,salesforce-para-twilio-n8n-pagamento,Automatize pagamento integrando Salesforce e Twilio com N8N. Geração de relatórios automatizados.,https://n8n.io/workflows/2681,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"saas,backup,schedule"
Salesforce,Twilio,Evento,Priorização de leads,Como integrar Salesforce com Twilio para evento usando N8N,salesforce-para-twilio-n8n-evento,Automatize evento integrando Salesforce e Twilio com N8N. Priorização de leads.,https://n8n.io/workflows/2682,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"export,notificacao,social"
Salesforce,Twilio,Chat,Gerenciamento de relacionamento com clientes,Como integrar Salesforce com Twilio para chat usando N8N,salesforce-para-twilio-n8n-chat,Automatize chat integrando Salesforce e Twilio com N8N. Gerenciamento de relacionamento com clientes.,https://n8n.io/workflows/2683,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"transform,analytics,saas"
Salesforce,Twilio,Comentário,Criação de leads qualificados,Como integrar Salesforce com Twilio para comentário usando N8N,salesforce-para-twilio-n8n-comentário,Automatize comentário integrando Salesforce e Twilio com N8N. Criação de leads qualificados.,https://n8n.io/workflows/2684,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"customer-support,security,sync"
Salesforce,Twilio,Post,Análise de dados e inteligência,Como integrar Salesforce com Twilio para post usando N8N,salesforce-para-twilio-n8n-post,Automatize post integrando Salesforce e Twilio com N8N. Análise de dados e inteligência.,https://n8n.io/workflows/2685,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"hr,webhook,startup"
Salesforce,Twilio,Agendamento,Acompanhamento de vendas,Como integrar Salesforce com Twilio para agendamento usando N8N,salesforce-para-twilio-n8n-agendamento,Automatize agendamento integrando Salesforce e Twilio com N8N. Acompanhamento de vendas.,https://n8n.io/workflows/2686,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"integracao,whatsapp,growth"
Salesforce,Twilio,Email,Integração de pagamentos e financeiro,Como integrar Salesforce com Twilio para email usando N8N,salesforce-para-twilio-n8n-email,Automatize email integrando Salesforce e Twilio com N8N. Integração de pagamentos e financeiro.,https://n8n.io/workflows/2687,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"sync,dados,inventory"
Salesforce,Twilio,Webhook,Sincronização em tempo real entre plataformas,Como integrar Salesforce com Twilio para webhook usando N8N,salesforce-para-twilio-n8n-webhook,Automatize webhook integrando Salesforce e Twilio com N8N. Sincronização em tempo real entre plataformas.,https://n8n.io/workflows/2688,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"cultura,automacao,booking"
Salesforce,Twilio,API Call,Geração de relatórios automatizados,Como integrar Salesforce com Twilio para api call usando N8N,salesforce-para-twilio-n8n-api call,Automatize api call integrando Salesforce e Twilio com N8N. Geração de relatórios automatizados.,https://n8n.io/workflows/2689,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"cultura,customer-support,performance"
Salesforce,Twilio,Atualização,Controle de inventário e estoque,Como integrar Salesforce com Twilio para atualização usando N8N,salesforce-para-twilio-n8n-atualização,Automatize atualização integrando Salesforce e Twilio com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2690,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"customer-support,performance,whatsapp"
Salesforce,Twilio,Criação,Melhoria de experiência do cliente,Como integrar Salesforce com Twilio para criação usando N8N,salesforce-para-twilio-n8n-criação,Automatize criação integrando Salesforce e Twilio com N8N. Melhoria de experiência do cliente.,https://n8n.io/workflows/2691,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"cultura,backup,vendas"
Salesforce,Twilio,Exclusão,Captura e processamento automático de dados,Como integrar Salesforce com Twilio para exclusão usando N8N,salesforce-para-twilio-n8n-exclusão,Automatize exclusão integrando Salesforce e Twilio com N8N. Captura e processamento automático de dados.,https://n8n.io/workflows/2692,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"schedule,ecommerce,dados"
Salesforce,Twilio,Backup,Automação de email marketing,Como integrar Salesforce com Twilio para backup usando N8N,salesforce-para-twilio-n8n-backup,Automatize backup integrando Salesforce e Twilio com N8N. Automação de email marketing.,https://n8n.io/workflows/2693,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"b2b,webhook,backup"
Salesforce,Twilio,Sincronização,Controle de inventário e estoque,Como integrar Salesforce com Twilio para sincronização usando N8N,salesforce-para-twilio-n8n-sincronização,Automatize sincronização integrando Salesforce e Twilio com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2694,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"otimizacao,sync,security"
Salesforce,Twilio,Relatório,Auditoria de ações,Como integrar Salesforce com Twilio para relatório usando N8N,salesforce-para-twilio-n8n-relatório,Automatize relatório integrando Salesforce e Twilio com N8N. Auditoria de ações.,https://n8n.io/workflows/2695,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"acquisition,retention,project-management"
Salesforce,Twilio,Alerta,Otimização de processos,Como integrar Salesforce com Twilio para alerta usando N8N,salesforce-para-twilio-n8n-alerta,Automatize alerta integrando Salesforce e Twilio com N8N. Otimização de processos.,https://n8n.io/workflows/2696,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"finance,filter,hr"
Salesforce,Twilio,Importação,Criação de leads qualificados,Como integrar Salesforce com Twilio para importação usando N8N,salesforce-para-twilio-n8n-importação,Automatize importação integrando Salesforce e Twilio com N8N. Criação de leads qualificados.,https://n8n.io/workflows/2697,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"formularios,transform,hr"
Salesforce,Twilio,Exportação,Redução de tarefas repetitivas,Como integrar Salesforce com Twilio para exportação usando N8N,salesforce-para-twilio-n8n-exportação,Automatize exportação integrando Salesforce e Twilio com N8N. Redução de tarefas repetitivas.,https://n8n.io/workflows/2698,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"filter,sme,validation"
Salesforce,Twilio,Transformação,Melhoria de experiência do cliente,Como integrar Salesforce com Twilio para transformação usando N8N,salesforce-para-twilio-n8n-transformação,Automatize transformação integrando Salesforce e Twilio com N8N. Melhoria de experiência do cliente.,https://n8n.io/workflows/2699,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"customer-support,growth,formularios"
Salesforce,Twilio,Filtro,Escalabilidade de processos,Como integrar Salesforce com Twilio para filtro usando N8N,salesforce-para-twilio-n8n-filtro,Automatize filtro integrando Salesforce e Twilio com N8N. Escalabilidade de processos.,https://n8n.io/workflows/2700,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"sync,sme,api"
Salesforce,Twilio,Validação,Atendimento ao cliente 24/7,Como integrar Salesforce com Twilio para validação usando N8N,salesforce-para-twilio-n8n-validação,Automatize validação integrando Salesforce e Twilio com N8N. Atendimento ao cliente 24/7.,https://n8n.io/workflows/2701,Conectar Trigger Salesforce|Validar dados|Formatar para Twilio|Enviar/Criar no Twilio|Registrar resultado,"chat,reporting,analytics"
Salesforce,Zendesk Chat,Lead,Redução de tarefas repetitivas,Como integrar Salesforce com Zendesk Chat para lead usando N8N,salesforce-para-zendesk-chat-n8n-lead,Automatize lead integrando Salesforce e Zendesk Chat com N8N. Redução de tarefas repetitivas.,https://n8n.io/workflows/2702,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"analytics,otimizacao,backup"
Salesforce,Zendesk Chat,Venda,Captura e processamento automático de dados,Como integrar Salesforce com Zendesk Chat para venda usando N8N,salesforce-para-zendesk-chat-n8n-venda,Automatize venda integrando Salesforce e Zendesk Chat com N8N. Captura e processamento automático de dados.,https://n8n.io/workflows/2703,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"startup,automacao,otimizacao"
Salesforce,Zendesk Chat,Notificação,Backup e armazenamento seguro de informações,Como integrar Salesforce com Zendesk Chat para notificação usando N8N,salesforce-para-zendesk-chat-n8n-notificação,Automatize notificação integrando Salesforce e Zendesk Chat com N8N. Backup e armazenamento seguro de informações.,https://n8n.io/workflows/2704,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"security,payment,whatsapp"
Salesforce,Zendesk Chat,Formulário,Controle de inventário e estoque,Como integrar Salesforce com Zendesk Chat para formulário usando N8N,salesforce-para-zendesk-chat-n8n-formulário,Automatize formulário integrando Salesforce e Zendesk Chat com N8N. Controle de inventário e estoque.,https://n8n.io/workflows/2705,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"saas,chat,reporting"
Salesforce,Zendesk Chat,Contato,Melhor rastreabilidade,Como integrar Salesforce com Zendesk Chat para contato usando N8N,salesforce-para-zendesk-chat-n8n-contato,Automatize contato integrando Salesforce e Zendesk Chat com N8N. Melhor rastreabilidade.,https://n8n.io/workflows/2706,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"hr,cultura,filter"
Salesforce,Zendesk Chat,Pedido,Gerenciamento de relacionamento com clientes,Como integrar Salesforce com Zendesk Chat para pedido usando N8N,salesforce-para-zendesk-chat-n8n-pedido,Automatize pedido integrando Salesforce e Zendesk Chat com N8N. Gerenciamento de relacionamento com clientes.,https://n8n.io/workflows/2707,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"schedule,integracao,vendas"
Salesforce,Zendesk Chat,Pagamento,Gestão de tickets e suporte,Como integrar Salesforce com Zendesk Chat para pagamento usando N8N,salesforce-para-zendesk-chat-n8n-pagamento,Automatize pagamento integrando Salesforce e Zendesk Chat com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/2708,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"accounting,security,integracao"
Salesforce,Zendesk Chat,Evento,Criação de leads qualificados,Como integrar Salesforce com Zendesk Chat para evento usando N8N,salesforce-para-zendesk-chat-n8n-evento,Automatize evento integrando Salesforce e Zendesk Chat com N8N. Criação de leads qualificados.,https://n8n.io/workflows/2709,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"project-management,security,api"
Salesforce,Zendesk Chat,Chat,Escalabilidade de processos,Como integrar Salesforce com Zendesk Chat para chat usando N8N,salesforce-para-zendesk-chat-n8n-chat,Automatize chat integrando Salesforce e Zendesk Chat com N8N. Escalabilidade de processos.,https://n8n.io/workflows/2710,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"webhook,crm,startup"
Salesforce,Zendesk Chat,Comentário,Gestão de tickets e suporte,Como integrar Salesforce com Zendesk Chat para comentário usando N8N,salesforce-para-zendesk-chat-n8n-comentário,Automatize comentário integrando Salesforce e Zendesk Chat com N8N. Gestão de tickets e suporte.,https://n8n.io/workflows/2711,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"export,marketing,sme"
Salesforce,Zendesk Chat,Post,Integração com redes sociais,Como integrar Salesforce com Zendesk Chat para post usando N8N,salesforce-para-zendesk-chat-n8n-post,Automatize post integrando Salesforce e Zendesk Chat com N8N. Integração com redes sociais.,https://n8n.io/workflows/2712,Conectar Trigger Salesforce|Validar dados|Formatar para Zendesk Chat|Enviar/Criar no Zendesk Chat|Registrar resultado,"schedule,growth,project-management"
