modelId,downloads,likes,pipeline_tag,lastModified,tags,author,model_name,library_name,created_at,license,license_normalized,is_multilingual,is_quantized,languages,rank
openai/clip-vit-large-patch14-336,5283832,281,zero-shot-image-classification,2022-10-04 09:41:39+00:00,"['transformers', 'pytorch', 'tf', 'clip', 'zero-shot-image-classification', 'generated_from_keras_callback', 'endpoints_compatible', 'region:us']",openai,clip-vit-large-patch14-336,transformers,2022-04-22 14:57:43+00:00,unknown,Unknown,False,False,"['en', 'fr']",49
deepseek-ai/DeepSeek-OCR,5280239,2954,image-text-to-text,2025-11-04 02:36:12+00:00,"['transformers', 'safetensors', 'deepseek_vl_v2', 'feature-extraction', 'deepseek', 'vision-language', 'ocr', 'custom_code', 'image-text-to-text', 'multilingual', 'arxiv:2510.18234', 'license:mit', 'region:us']",deepseek-ai,DeepSeek-OCR,transformers,2025-10-17 06:22:05+00:00,mit,MIT,True,False,"['ar', 'en', 'de']",50
sentence-transformers/multi-qa-mpnet-base-dot-v1,5237849,184,sentence-similarity,2025-08-19 10:21:26+00:00,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'mpnet', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'transformers', 'text-embeddings-inference', 'en', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:search_qa', 'dataset:eli5', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/QQP', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/Amazon-QA', 'dataset:embedding-data/WikiAnswers', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",sentence-transformers,multi-qa-mpnet-base-dot-v1,sentence-transformers,2022-03-02 23:29:05+00:00,unknown,Unknown,False,False,"['es', 'ar', 'en', 'de']",51
jinaai/jina-embeddings-v3,5225539,1110,feature-extraction,2025-02-24 07:06:37+00:00,"['transformers', 'pytorch', 'onnx', 'safetensors', 'feature-extraction', 'sentence-similarity', 'mteb', 'sentence-transformers', 'custom_code', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2409.10173', 'license:cc-by-nc-4.0', 'model-index', 'region:eu']",jinaai,jina-embeddings-v3,transformers,2024-09-05 11:56:46+00:00,cc-by-nc-4.0,CC-BY,True,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",52
openai/whisper-large-v3,5129534,5190,automatic-speech-recognition,2024-08-12 10:20:10+00:00,"['transformers', 'pytorch', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",openai,whisper-large-v3,transformers,2023-11-07 18:41:14+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",53
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,5052273,36,automatic-speech-recognition,2022-12-14 01:59:47+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'pt', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3572', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-portuguese,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ja', 'pt', 'de', 'en', 'ar']",54
facebook/bart-large-cnn,4995017,1515,summarization,2024-02-13 18:02:05+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'bart', 'text2text-generation', 'summarization', 'en', 'dataset:cnn_dailymail', 'arxiv:1910.13461', 'license:mit', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",facebook,bart-large-cnn,transformers,2022-03-02 23:29:05+00:00,mit,MIT,False,False,"['ru', 'ja', 'de', 'en', 'ar']",55
Alibaba-NLP/gte-large-en-v1.5,4969477,232,sentence-similarity,2024-08-09 03:32:05+00:00,"['transformers', 'onnx', 'safetensors', 'new', 'feature-extraction', 'sentence-transformers', 'gte', 'mteb', 'transformers.js', 'sentence-similarity', 'custom_code', 'en', 'dataset:allenai/c4', 'arxiv:2407.19669', 'arxiv:2308.03281', 'license:apache-2.0', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Alibaba-NLP,gte-large-en-v1.5,transformers,2024-04-20 02:54:30+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",56
google-bert/bert-base-multilingual-cased,4951991,558,fill-mask,2024-02-19 11:05:41+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'fill-mask', 'multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'mn', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'th', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",google-bert,bert-base-multilingual-cased,transformers,2022-03-02 23:29:04+00:00,apache-2.0,Apache 2.0,True,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",57
Qwen/Qwen3-8B,4687314,800,text-generation,2025-07-26 03:49:13+00:00,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'arxiv:2309.00071', 'arxiv:2505.09388', 'base_model:Qwen/Qwen3-8B-Base', 'base_model:finetune:Qwen/Qwen3-8B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",Qwen,Qwen3-8B,transformers,2025-04-27 03:42:21+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",58
facebook/opt-125m,4677216,226,text-generation,2023-09-15 13:10:03+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'opt', 'text-generation', 'en', 'arxiv:2205.01068', 'arxiv:2005.14165', 'license:other', 'text-generation-inference', 'deploy:azure', 'region:us']",facebook,opt-125m,transformers,2022-05-11 08:25:17+00:00,other,Other,False,False,"['ja', 'pt', 'de', 'en', 'ar']",59
dphn/dolphin-2.9.1-yi-1.5-34b,4659855,52,text-generation,2025-09-08 05:56:56+00:00,"['transformers', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'axolotl', 'conversational', 'dataset:cognitivecomputations/Dolphin-2.9', 'dataset:teknium/OpenHermes-2.5', 'dataset:m-a-p/CodeFeedback-Filtered-Instruction', 'dataset:cognitivecomputations/dolphin-coder', 'dataset:cognitivecomputations/samantha-data', 'dataset:microsoft/orca-math-word-problems-200k', 'dataset:Locutusque/function-calling-chatml', 'dataset:internlm/Agent-FLAN', 'base_model:01-ai/Yi-1.5-34B', 'base_model:finetune:01-ai/Yi-1.5-34B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",dphn,dolphin-2.9.1-yi-1.5-34b,transformers,2024-05-18 04:50:56+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'de', 'en', 'es', 'fr']",60
openai/whisper-large-v3-turbo,4637582,2721,automatic-speech-recognition,2024-10-04 14:51:11+00:00,"['transformers', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'base_model:openai/whisper-large-v3', 'base_model:finetune:openai/whisper-large-v3', 'license:mit', 'endpoints_compatible', 'region:us']",openai,whisper-large-v3-turbo,transformers,2024-10-01 07:39:28+00:00,mit,MIT,False,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",61
openai/whisper-small,4632486,496,automatic-speech-recognition,2024-02-29 10:57:38+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us', 'deploy:azure']",openai,whisper-small,transformers,2022-09-26 06:51:27+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",62
openai/gpt-oss-120b,4574143,4235,text-generation,2025-08-26 17:25:03+00:00,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'arxiv:2508.10925', 'license:apache-2.0', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",openai,gpt-oss-120b,transformers,2025-08-04 22:33:06+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'pt', 'de']",63
autogluon/chronos-bolt-base,4547495,35,time-series-forecasting,2025-10-30 09:20:44+00:00,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",autogluon,chronos-bolt-base,,2024-11-13 13:07:57+00:00,apache-2.0,Apache 2.0,False,False,"['es', 'ar', 'en', 'de']",64
distilbert/distilbert-base-uncased-finetuned-sst-2-english,4500273,858,text-classification,2023-12-19 16:29:37+00:00,"['transformers', 'pytorch', 'tf', 'rust', 'onnx', 'safetensors', 'distilbert', 'text-classification', 'en', 'dataset:sst2', 'dataset:glue', 'arxiv:1910.01108', 'doi:10.57967/hf/0181', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'deploy:azure', 'region:us']",distilbert,distilbert-base-uncased-finetuned-sst-2-english,transformers,2022-03-02 23:29:04+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'ar', 'en', 'de']",65
Comfy-Org/Wan_2.1_ComfyUI_repackaged,4451201,802,,2025-10-06 17:31:45+00:00,"['diffusion-single-file', 'comfyui', 'region:us']",Comfy-Org,Wan_2.1_ComfyUI_repackaged,diffusion-single-file,2025-02-25 21:27:12+00:00,unknown,Unknown,False,False,[],66
nvidia/bigvgan_v2_22khz_80band_256x,4319485,23,audio-to-audio,2024-09-05 03:36:23+00:00,"['PyTorch', 'neural-vocoder', 'audio-generation', 'audio-to-audio', 'arxiv:2206.04658', 'license:mit', 'region:us']",nvidia,bigvgan_v2_22khz_80band_256x,PyTorch,2024-07-15 14:07:18+00:00,mit,MIT,False,False,"['ar', 'en', 'de']",67
facebook/bart-large-mnli,4292612,1501,zero-shot-classification,2023-09-05 14:49:34+00:00,"['transformers', 'pytorch', 'jax', 'rust', 'safetensors', 'bart', 'text-classification', 'zero-shot-classification', 'dataset:multi_nli', 'arxiv:1910.13461', 'arxiv:1909.00161', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",facebook,bart-large-mnli,transformers,2022-03-02 23:29:05+00:00,mit,MIT,False,False,"['ru', 'ja', 'de', 'en', 'ar']",68
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,4287946,41,automatic-speech-recognition,2022-12-14 01:57:28+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'ar', 'dataset:common_voice', 'dataset:arabic_speech_corpus', 'doi:10.57967/hf/3573', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-arabic,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'ja', 'de']",69
Qwen/Qwen3-32B,4255998,598,text-generation,2025-07-26 03:45:22+00:00,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'arxiv:2309.00071', 'arxiv:2505.09388', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",Qwen,Qwen3-32B,transformers,2025-04-27 03:52:59+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",70
Qwen/Qwen3-1.7B,4224392,351,text-generation,2025-07-26 03:46:32+00:00,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'arxiv:2505.09388', 'base_model:Qwen/Qwen3-1.7B-Base', 'base_model:finetune:Qwen/Qwen3-1.7B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",Qwen,Qwen3-1.7B,transformers,2025-04-27 03:41:05+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",71
hexgrad/Kokoro-82M,4209268,5386,text-to-speech,2025-04-10 18:12:48+00:00,"['text-to-speech', 'en', 'arxiv:2306.07691', 'arxiv:2203.02395', 'base_model:yl4579/StyleTTS2-LJSpeech', 'base_model:finetune:yl4579/StyleTTS2-LJSpeech', 'doi:10.57967/hf/4329', 'license:apache-2.0', 'region:us']",hexgrad,Kokoro-82M,,2024-12-26 00:20:08+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",72
sentence-transformers/gtr-t5-base,4086988,26,sentence-similarity,2025-03-06 13:39:57+00:00,"['sentence-transformers', 'pytorch', 'safetensors', 't5', 'feature-extraction', 'sentence-similarity', 'en', 'arxiv:2112.07899', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",sentence-transformers,gtr-t5-base,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",73
Qwen/Qwen3-Embedding-0.6B,4085023,773,feature-extraction,2025-06-20 09:31:05+00:00,"['sentence-transformers', 'safetensors', 'qwen3', 'text-generation', 'transformers', 'sentence-similarity', 'feature-extraction', 'text-embeddings-inference', 'arxiv:2506.05176', 'base_model:Qwen/Qwen3-0.6B-Base', 'base_model:finetune:Qwen/Qwen3-0.6B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",Qwen,Qwen3-Embedding-0.6B,sentence-transformers,2025-06-03 14:25:32+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",74
lpiccinelli/unidepth-v2-vitl14,4076550,3,,2025-02-28 13:55:37+00:00,"['UniDepth', 'pytorch', 'safetensors', 'model_hub_mixin', 'monocular-metric-depth-estimation', 'pytorch_model_hub_mixin', 'region:us']",lpiccinelli,unidepth-v2-vitl14,UniDepth,2024-06-12 12:39:28+00:00,unknown,Unknown,False,False,"['pt', 'de', 'en', 'es', 'ar']",75
google/vit-base-patch16-224,4064276,907,image-classification,2023-09-05 15:27:12+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",google,vit-base-patch16-224,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'ja', 'de']",76
emilyalsentzer/Bio_ClinicalBERT,3979692,402,fill-mask,2024-12-03 20:22:45+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'fill-mask', 'en', 'arxiv:1904.03323', 'arxiv:1901.08746', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",emilyalsentzer,Bio_ClinicalBERT,transformers,2022-03-02 23:29:05+00:00,mit,MIT,False,False,"['ar', 'en', 'ja', 'de']",77
google/siglip-so400m-patch14-384,3937862,626,zero-shot-image-classification,2024-09-26 08:21:46+00:00,"['transformers', 'safetensors', 'siglip', 'zero-shot-image-classification', 'vision', 'arxiv:2303.15343', 'arxiv:2305.13035', 'arxiv:2209.06794', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",google,siglip-so400m-patch14-384,transformers,2024-01-08 13:38:32+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",78
roadz/qwen3-1.7b-oxxroad,3814974,0,,2025-09-03 12:15:03+00:00,"['safetensors', 'qwen3', 'region:us']",roadz,qwen3-1.7b-oxxroad,,2025-09-03 12:08:16+00:00,unknown,Unknown,False,False,['en'],79
BAAI/bge-large-en-v1.5,3801060,607,feature-extraction,2024-02-21 02:51:44+00:00,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",BAAI,bge-large-en-v1.5,sentence-transformers,2023-09-12 05:20:08+00:00,mit,MIT,False,False,"['ar', 'en', 'de']",80
hustvl/vitmatte-small-composition-1k,3771633,48,,2024-03-29 08:01:59+00:00,"['transformers', 'pytorch', 'safetensors', 'vitmatte', 'vision', 'arxiv:2305.15272', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",hustvl,vitmatte-small-composition-1k,transformers,2023-09-10 07:47:27+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",81
nlpaueb/legal-bert-base-uncased,3712333,290,fill-mask,2022-04-28 14:42:50+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'pretraining', 'legal', 'fill-mask', 'en', 'license:cc-by-sa-4.0', 'endpoints_compatible', 'region:us', 'deploy:azure']",nlpaueb,legal-bert-base-uncased,transformers,2022-03-02 23:29:05+00:00,cc-by-sa-4.0,CC-BY,False,False,"['en', 'ja', 'de']",82
jonatasgrosman/wav2vec2-large-xlsr-53-persian,3664882,25,automatic-speech-recognition,2022-12-14 01:57:01+00:00,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'fa', 'dataset:common_voice', 'doi:10.57967/hf/3576', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'deploy:azure', 'region:us']",jonatasgrosman,wav2vec2-large-xlsr-53-persian,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['en', 'ja', 'de']",83
cardiffnlp/twitter-roberta-base-sentiment-latest,3616594,741,text-classification,2025-08-04 07:58:29+00:00,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2202.03829', 'license:cc-by-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",cardiffnlp,twitter-roberta-base-sentiment-latest,transformers,2022-03-15 01:21:58+00:00,cc-by-4.0,CC-BY,False,False,"['ar', 'en', 'de']",84
sentence-transformers/all-MiniLM-L12-v2,3595164,282,sentence-similarity,2025-03-06 13:36:06+00:00,"['sentence-transformers', 'pytorch', 'rust', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",sentence-transformers,all-MiniLM-L12-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'pt', 'de', 'en', 'es', 'ar']",85
amazon/chronos-2,3533331,116,time-series-forecasting,2025-11-05 10:32:11+00:00,"['chronos-forecasting', 'safetensors', 't5', 'time series', 'forecasting', 'foundation models', 'pretrained models', 'time-series-forecasting', 'dataset:autogluon/chronos_datasets', 'dataset:Salesforce/GiftEvalPretrain', 'arxiv:2403.07815', 'arxiv:2510.15821', 'license:apache-2.0', 'region:us']",amazon,chronos-2,chronos-forecasting,2025-10-30 14:54:39+00:00,apache-2.0,Apache 2.0,False,False,"['es', 'ar', 'en', 'de']",86
openai/clip-vit-base-patch16,3478491,144,zero-shot-image-classification,2022-10-04 09:42:28+00:00,"['transformers', 'pytorch', 'jax', 'clip', 'zero-shot-image-classification', 'vision', 'arxiv:2103.00020', 'arxiv:1908.04913', 'endpoints_compatible', 'region:us']",openai,clip-vit-base-patch16,transformers,2022-03-02 23:29:05+00:00,unknown,Unknown,False,False,"['ar', 'en', 'ja']",87
mistralai/Mistral-7B-Instruct-v0.2,3476632,3033,text-generation,2025-07-24 16:57:21+00:00,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'finetuned', 'mistral-common', 'conversational', 'arxiv:2310.06825', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'deploy:azure', 'region:us']",mistralai,Mistral-7B-Instruct-v0.2,transformers,2023-12-11 13:18:44+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en', 'de']",88
FacebookAI/xlm-roberta-large,3472506,477,fill-mask,2024-02-19 12:48:30+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'xlm-roberta', 'fill-mask', 'exbert', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:1911.02116', 'license:mit', 'endpoints_compatible', 'deploy:azure', 'region:us']",FacebookAI,xlm-roberta-large,transformers,2022-03-02 23:29:04+00:00,mit,MIT,True,False,"['ru', 'zh', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",89
